,Faixa do rendimento mensal domiciliar per capita ,Para acessar a Internet utiliza-se microcomputador,Para acessar a Internet utiliza-se telefone celular,Rendimento mensal domiciliar per capita ,Tem telefone movel celular,Total de moradores de 10 anos ou mais
617,3.0,4.0,2.0,504.0,2.0,5.0
618,3.0,2.0,2.0,701.0,2.0,4.0
619,4.0,2.0,2.0,880.0,2.0,5.0
620,1.0,4.0,2.0,166.0,2.0,3.0
621,4.0,4.0,2.0,1500.0,2.0,2.0
622,2.0,4.0,2.0,207.0,2.0,3.0
623,3.0,,,788.0,2.0,1.0
624,4.0,,,1300.0,2.0,1.0
625,4.0,4.0,2.0,821.0,2.0,4.0
626,4.0,4.0,2.0,1200.0,2.0,2.0
627,3.0,,,500.0,2.0,2.0
628,3.0,4.0,2.0,412.0,2.0,3.0
629,4.0,2.0,2.0,1566.0,2.0,2.0
630,3.0,,,400.0,2.0,2.0
631,2.0,4.0,2.0,311.0,2.0,2.0
632,4.0,4.0,2.0,1500.0,2.0,1.0
633,,,,,,
634,4.0,,,883.0,2.0,2.0
635,3.0,2.0,2.0,625.0,2.0,2.0
636,4.0,4.0,2.0,846.0,2.0,3.0
637,3.0,2.0,2.0,500.0,2.0,3.0
638,4.0,2.0,2.0,1433.0,2.0,3.0
639,2.0,4.0,2.0,250.0,2.0,3.0
640,3.0,4.0,2.0,729.0,2.0,3.0
641,4.0,,,1576.0,4.0,1.0
642,4.0,4.0,2.0,1394.0,2.0,2.0
643,4.0,4.0,2.0,1400.0,2.0,1.0
644,,,,,,
645,,,,,,
646,4.0,2.0,2.0,1200.0,2.0,1.0
647,4.0,4.0,2.0,950.0,2.0,2.0
648,3.0,2.0,2.0,433.0,2.0,3.0
649,3.0,,,788.0,2.0,1.0
650,3.0,,,725.0,2.0,3.0
651,1.0,,,186.0,2.0,3.0
652,,,,,,
653,,,,,,
654,4.0,,,1576.0,2.0,1.0
655,3.0,,,525.0,2.0,3.0
656,4.0,,,894.0,4.0,4.0
657,3.0,,,788.0,4.0,1.0
658,,,,,,
659,,,,,,
660,2.0,,,216.0,2.0,4.0
661,3.0,,,525.0,4.0,2.0
662,3.0,,,400.0,2.0,2.0
663,,,,,,
664,2.0,,,286.0,4.0,2.0
665,3.0,,,704.0,2.0,3.0
666,,,,,,
667,3.0,,,788.0,2.0,2.0
668,,,,,,
669,,,,,,
670,3.0,,,512.0,2.0,4.0
671,,,,,,
672,6.0,2.0,2.0,2600.0,2.0,2.0
673,2.0,,,300.0,2.0,2.0
674,3.0,2.0,2.0,788.0,2.0,2.0
675,2.0,2.0,2.0,388.0,2.0,4.0
676,3.0,2.0,2.0,500.0,2.0,2.0
677,3.0,,,788.0,2.0,1.0
678,6.0,2.0,2.0,3600.0,2.0,5.0
679,2.0,,,239.0,2.0,6.0
680,3.0,,,450.0,4.0,1.0
